Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Population,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm
AB-LL_40,1,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,10,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_40,11,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,12,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,2,Prairie,1348.389,9,Prairie,AB-LL,1,1,1,5,0,0,0
AB-LL_40,3,Prairie,1348.389,8,Prairie,AB-LL,1,1,1,1,0,0,0
AB-LL_40,4,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,5,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,6,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,7,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_40,8,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_40,9,Prairie,1348.389,NA,Prairie,AB-LL,0,0,0,0,0,0,0
AB-LL_5,1,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,10,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,11,Prairie,1348.389,15,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,12,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,2,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,3,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,4,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,5,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,6,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,7,Prairie,1348.389,17,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,8,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_5,9,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,1,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,10,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,11,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,12,Prairie,1348.389,12,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,2,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,3,Prairie,1348.389,10,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,4,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,5,Prairie,1348.389,11,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,6,Prairie,1348.389,13,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,7,Prairie,1348.389,9,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,8,Prairie,1348.389,14,Prairie,AB-LL,1,1,0,0,0,0,0
AB-LL_7,9,Prairie,1348.389,12,Prairie,AB-LL,1,1,1,1,0,0,0
AB-RL_1,1,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,10,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,11,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,12,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,2,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,3,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,4,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,5,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,6,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,7,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,8,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_1,9,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,1,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,10,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,11,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,12,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,2,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,3,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,4,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,5,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,6,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
AB-RL_10,7,Prairie,1055.739,NA,Prairie,AB-RL,0,0,0,0,0,0,0
