Population,Family.Unique,Block.ID,HabitatType,Region,No.Days.to.Germ,Dist.from.cg.km,Germination.Y.N,Survival.Y.N,Survival.Y.N.2017,Flower.Y.N.2016,Flower.Y.N.2017,No.Flowers.2016,Total.Flowers.2017,Fruit.Y.N.2016,Fruit.Y.N.2017,No.Fruit.2016,No.Fruit.2017,sm,sm.2,Surv2017,sm2017,PC1,PC2,flw.no2017
CAR-NBA,CAR-NBA_10,1,Alvar,GL_alvar,11,1368.191,1,1,1,1,1,1,12,1,1,1,9,4,666,1,670,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_10,10,Alvar,GL_alvar,8,1368.191,1,1,1,1,1,1,7,0,1,0,4,0,223,1,223,2.575403033,1.481069919,7
CAR-NBA,CAR-NBA_10,11,Alvar,GL_alvar,25,1368.191,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_10,2,Alvar,GL_alvar,9,1368.191,1,1,1,0,1,0,17,0,1,0,6,0,395,1,395,2.575403033,1.481069919,17
CAR-NBA,CAR-NBA_10,3,Alvar,GL_alvar,9,1368.191,1,1,1,1,1,6,17,0,1,0,10,0,1679,1,1679,2.575403033,1.481069919,17
CAR-NBA,CAR-NBA_10,5,Alvar,GL_alvar,10,1368.191,1,1,1,1,1,3,5,0,1,0,1,0,59,1,59,2.575403033,1.481069919,5
CAR-NBA,CAR-NBA_11,1,Alvar,GL_alvar,10,1368.191,1,1,1,1,1,15,26,0,1,0,14,0,1651,1,1651,2.575403033,1.481069919,26
CAR-NBA,CAR-NBA_11,10,Alvar,GL_alvar,10,1368.191,1,1,1,1,1,8,20,0,1,0,14,0,1915,1,1915,2.575403033,1.481069919,20
CAR-NBA,CAR-NBA_11,11,Alvar,GL_alvar,8,1368.191,1,1,1,1,1,1,16,0,1,0,11,0,1012,1,1012,2.575403033,1.481069919,16
CAR-NBA,CAR-NBA_11,12,Alvar,GL_alvar,8,1368.191,1,1,1,0,1,0,9,0,1,0,3,0,173,1,173,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_11,2,Alvar,GL_alvar,8,1368.191,1,1,1,1,1,26,19,0,1,0,11,0,1692,1,1692,2.575403033,1.481069919,19
CAR-NBA,CAR-NBA_11,3,Alvar,GL_alvar,10,1368.191,1,1,1,0,1,0,20,0,1,0,6,0,783,1,783,2.575403033,1.481069919,20
CAR-NBA,CAR-NBA_11,5,Alvar,GL_alvar,9,1368.191,1,1,1,1,1,11,19,1,1,1,16,5,999,1,1004,2.575403033,1.481069919,19
CAR-NBA,CAR-NBA_11,7,Alvar,GL_alvar,8,1368.191,1,1,1,1,1,2,32,0,1,0,21,0,2044,1,2044,2.575403033,1.481069919,32
CAR-NBA,CAR-NBA_11,8,Alvar,GL_alvar,9,1368.191,1,1,1,1,1,14,8,0,1,0,5,0,306,1,306,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_11,9,Alvar,GL_alvar,12,1368.191,1,1,1,1,1,1,19,0,1,0,12,0,692,1,692,2.575403033,1.481069919,19
CAR-NBA,CAR-NBA_12,1,Alvar,GL_alvar,11,1368.191,1,1,1,1,1,26,25,1,1,1,18,6,2001,1,2007,2.575403033,1.481069919,25
CAR-NBA,CAR-NBA_12,10,Alvar,GL_alvar,10,1368.191,1,1,1,1,1,13,22,1,1,2,13,28,1011,1,1039,2.575403033,1.481069919,22
CAR-NBA,CAR-NBA_12,11,Alvar,GL_alvar,12,1368.191,1,1,1,0,1,0,9,0,1,0,8,0,575,1,575,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_12,12,Alvar,GL_alvar,8,1368.191,1,1,1,0,1,0,11,0,1,0,8,0,906,1,906,2.575403033,1.481069919,11
CAR-NBA,CAR-NBA_12,2,Alvar,GL_alvar,8,1368.191,1,1,1,1,1,1,16,0,1,0,9,0,608,1,608,2.575403033,1.481069919,16
CAR-NBA,CAR-NBA_12,3,Alvar,GL_alvar,12,1368.191,1,1,1,0,1,0,12,0,1,0,6,0,722,1,722,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_12,5,Alvar,GL_alvar,11,1368.191,1,1,1,1,1,2,22,0,1,0,13,0,887,1,887,2.575403033,1.481069919,22
CAR-NBA,CAR-NBA_12,7,Alvar,GL_alvar,9,1368.191,1,1,1,1,1,4,26,0,1,0,23,0,2777,1,2777,2.575403033,1.481069919,26
CAR-NBA,CAR-NBA_12,8,Alvar,GL_alvar,18,1368.191,1,1,1,1,1,10,28,1,1,1,21,12,2585,1,2597,2.575403033,1.481069919,28
CAR-NBA,CAR-NBA_12,9,Alvar,GL_alvar,8,1368.191,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_13,1,Alvar,GL_alvar,8,1368.191,1,1,1,1,1,10,16,1,1,4,7,96,586,1,682,2.575403033,1.481069919,16
CAR-NBA,CAR-NBA_13,10,Alvar,GL_alvar,10,1368.191,1,1,1,1,1,12,4,0,1,0,0,0,0,1,0,2.575403033,1.481069919,4
