Population,Family.Unique,Block.ID,HabitatType,Dist.from.cg.km,No.Days.to.Germ,Region,Germination.Y.N,Survival.Y.N,Flower.Y.N.2016,No.Flowers.2016,Fruit.Y.N.2016,No.Fruit.2016,sm,PC1,PC2,flw.no2016
AB-LL,AB-LL_7,8,Prairie,1348.389,14,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-LL,AB-LL_7,9,Prairie,1348.389,12,Prairie,1,1,1,1,0,0,0,-3.828798263,0.090659321,1
AB-LL,AB-LL_7,6,Prairie,1348.389,13,Prairie,1,1,0,0,0,0,0,-3.828798263,0.090659321,0
AB-RO,AB-RO_8,12,Prairie,1058.689,17,Prairie,1,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,4,Prairie,1058.689,13,Prairie,1,1,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,5,Prairie,1058.689,22,Prairie,1,1,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_18,10,Prairie,1058.689,20,Prairie,1,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_18,2,Prairie,1058.689,14,Prairie,1,0,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_18,4,Prairie,1058.689,15,Prairie,1,1,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,1,Prairie,1058.689,14,Prairie,1,1,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,6,Prairie,1058.689,14,Prairie,1,1,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,7,Prairie,1058.689,20,Prairie,1,1,0,0,0,0,0,-4.383976233,-3.064623951,0
AB-RO,AB-RO_8,8,Prairie,1058.689,16,Prairie,1,0,0,0,0,0,0,-4.383976233,-3.064623951,0
CAR-NBA,CAR-NBA_10,1,Alvar,1368.191,11,GL_alvar,1,1,1,1,1,1,4,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_1,1,Alvar,1368.191,12,GL_alvar,1,1,1,27,0,0,0,2.575403033,1.481069919,27
CAR-NBA,CAR-NBA_1,10,Alvar,1368.191,10,GL_alvar,1,1,1,4,0,0,0,2.575403033,1.481069919,4
CAR-NBA,CAR-NBA_1,11,Alvar,1368.191,9,GL_alvar,1,1,1,8,0,0,0,2.575403033,1.481069919,8
CAR-NBA,CAR-NBA_1,12,Alvar,1368.191,12,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_1,2,Alvar,1368.191,13,GL_alvar,1,1,1,2,0,0,0,2.575403033,1.481069919,2
CAR-NBA,CAR-NBA_1,3,Alvar,1368.191,11,GL_alvar,1,1,1,45,1,3,0,2.575403033,1.481069919,45
CAR-NBA,CAR-NBA_1,4,Alvar,1368.191,8,GL_alvar,1,1,1,2,0,0,0,2.575403033,1.481069919,2
CAR-NBA,CAR-NBA_1,6,Alvar,1368.191,11,GL_alvar,1,1,1,23,1,1,9,2.575403033,1.481069919,23
CAR-NBA,CAR-NBA_1,9,Alvar,1368.191,8,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_12,8,Alvar,1368.191,18,GL_alvar,1,1,1,10,1,1,12,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_12,9,Alvar,1368.191,8,GL_alvar,1,1,0,0,0,0,0,2.575403033,1.481069919,0
CAR-NBA,CAR-NBA_13,1,Alvar,1368.191,8,GL_alvar,1,1,1,10,1,4,96,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_13,10,Alvar,1368.191,10,GL_alvar,1,1,1,12,0,0,0,2.575403033,1.481069919,12
CAR-NBA,CAR-NBA_13,11,Alvar,1368.191,10,GL_alvar,1,1,1,33,1,3,0,2.575403033,1.481069919,33
CAR-NBA,CAR-NBA_13,12,Alvar,1368.191,13,GL_alvar,1,1,1,1,0,0,0,2.575403033,1.481069919,1
CAR-NBA,CAR-NBA_13,2,Alvar,1368.191,12,GL_alvar,1,1,1,22,1,14,338,2.575403033,1.481069919,22
CAR-NBA,CAR-NBA_13,3,Alvar,1368.191,11,GL_alvar,1,1,1,10,1,2,56,2.575403033,1.481069919,10
CAR-NBA,CAR-NBA_13,4,Alvar,1368.191,9,GL_alvar,1,1,1,9,1,3,71,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_13,5,Alvar,1368.191,8,GL_alvar,1,1,1,9,1,2,61,2.575403033,1.481069919,9
CAR-NBA,CAR-NBA_13,6,Alvar,1368.191,10,GL_alvar,1,1,1,16,1,6,141,2.575403033,1.481069919,16
CAR-NBA,CAR-NBA_13,7,Alvar,1368.191,11,GL_alvar,1,1,1,45,1,9,0,2.575403033,1.481069919,45
CAR-NBA,CAR-NBA_13,8,Alvar,1368.191,9,GL_alvar,1,1,1,2,1,9,98,2.575403033,1.481069919,2
